family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
D	RTL8367D_QOS_PRIORITY_REMAPPING_IN_CPU_CTRL1_PRIORITY4_MASK		MASK	0x7	7	3456
D	RTL8367D_REG_QOS_TRAP_PRIORITY0		REGISTER	0x0881	2177	3458
D	RTL8367D_UNKNOWN_MC_PRIORTY_OFFSET		OFFSET_SHIFT	12	12	3459
D	RTL8367D_UNKNOWN_MC_PRIORTY_MASK		MASK	0x7000	28672	3460
D	RTL8367D_SVLAN_PRIOIRTY_OFFSET		OFFSET_SHIFT	8	8	3461
D	RTL8367D_SVLAN_PRIOIRTY_MASK		MASK	0x700	1792	3462
D	RTL8367D_DOT1X_PRIORTY_OFFSET		OFFSET_SHIFT	0	0	3463
D	RTL8367D_DOT1X_PRIORTY_MASK		MASK	0x7	7	3464
D	RTL8367D_REG_QOS_TRAP_PRIORITY1		REGISTER	0x0882	2178	3466
D	RTL8367D_QOS_TRAP_PRIORITY1_OFFSET		OFFSET_SHIFT	0	0	3467
D	RTL8367D_QOS_TRAP_PRIORITY1_MASK		MASK	0x7	7	3468
D	RTL8367D_REG_MAX_LENGTH_CFG		REGISTER	0x0883	2179	3470
D	RTL8367D_MAX_LENGTH_GIGA_OFFSET		OFFSET_SHIFT	8	8	3471
D	RTL8367D_MAX_LENGTH_GIGA_MASK		MASK	0xFF00	65280	3472
D	RTL8367D_MAX_LENGTH_10_100M_OFFSET		OFFSET_SHIFT	0	0	3473
D	RTL8367D_MAX_LENGTH_10_100M_MASK		MASK	0xFF	255	3474
D	RTL8367D_REG_QOS_INTERNAL_PRIORITY_DECISION2_CTRL0		REGISTER	0x0885	2181	3476
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL0_QOS_ACL_WEIGHT_OFFSET		OFFSET_SHIFT	8	8	3477
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL0_QOS_ACL_WEIGHT_MASK		MASK	0x1F00	7936	3478
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL0_QOS_PORT_WEIGHT_OFFSET		OFFSET_SHIFT	0	0	3479
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL0_QOS_PORT_WEIGHT_MASK		MASK	0x1F	31	3480
