family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	RTL8367C_PORT0_MISC_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	82
C	RTL8367C_REG_INGRESSBW_PORT0_RATE_CTRL0		REGISTER	0x000f	15	84
C	RTL8367C_REG_INGRESSBW_PORT0_RATE_CTRL1		REGISTER	0x0010	16	86
C	RTL8367C_INGRESSBW_PORT0_RATE_CTRL1_DUMMY_OFFSET		OFFSET_SHIFT	3	3	87
C	RTL8367C_INGRESSBW_PORT0_RATE_CTRL1_DUMMY_MASK		MASK	0xFFF8	65528	88
C	RTL8367C_INGRESSBW_PORT0_RATE_CTRL1_INGRESSBW_RATE16_OFFSET		OFFSET_SHIFT	0	0	89
C	RTL8367C_INGRESSBW_PORT0_RATE_CTRL1_INGRESSBW_RATE16_MASK		MASK	0x7	7	90
C	RTL8367C_REG_PORT0_FORCE_RATE0		REGISTER	0x0011	17	92
C	RTL8367C_REG_PORT0_FORCE_RATE1		REGISTER	0x0012	18	94
C	RTL8367C_REG_PORT0_CURENT_RATE0		REGISTER	0x0013	19	96
C	RTL8367C_REG_PORT0_CURENT_RATE1		REGISTER	0x0014	20	98
C	RTL8367C_REG_PORT0_PAGE_COUNTER		REGISTER	0x0015	21	100
C	RTL8367C_PORT0_PAGE_COUNTER_OFFSET		OFFSET_SHIFT	0	0	101
C	RTL8367C_PORT0_PAGE_COUNTER_MASK		MASK	0x7F	127	102
C	RTL8367C_REG_PAGEMETER_PORT0_CTRL0		REGISTER	0x0016	22	104
C	RTL8367C_REG_PAGEMETER_PORT0_CTRL1		REGISTER	0x0017	23	106
C	RTL8367C_REG_PORT0_EEECFG		REGISTER	0x0018	24	108
C	RTL8367C_PORT0_EEECFG_EEEP_ENABLE_TX_OFFSET		OFFSET_SHIFT	14	14	109
C	RTL8367C_PORT0_EEECFG_EEEP_ENABLE_TX_MASK		MASK	0x4000	16384	110
C	RTL8367C_PORT0_EEECFG_EEEP_ENABLE_RX_OFFSET		OFFSET_SHIFT	13	13	111
C	RTL8367C_PORT0_EEECFG_EEEP_ENABLE_RX_MASK		MASK	0x2000	8192	112
