quelle,pfad,groesse_bytes,sha256
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MAC_REG_8197Fmp.txt,2348,dfc3831ee2af31603031d268ccc3bd4b4facbac4ab1798068d5d9977e4806137
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_8197F.txt,10688,b463becc1f0a20093e02790e39e7bb83a46d8a1e471e17151ad34f801d8f2ba4
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_8197F_hp.txt,24614,785f5833d2b2e360fa2a124ceff8e07f74f4db6880e463a5e1e215c7104f125c
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_8197Fmp.txt,13930,d7f225bc78f657157935b892c0ab4ca9604ad2dead5e3f8dd7f144fe26431141
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_8197Fmp_hp.txt,44220,343698567570de67399a50b8535922fe4c459547ac71dbf1918bf2e40d984c78
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_MP_8197F.txt,72,aeb99283d8392245ee7903b5bf67aa440cc8ad6c6a66bacc9f80e3d6bb04e370
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_MP_8197Fmp.txt,113,a270ad1f7183103da4f5c952b5d91888a435cf51963c1e9a243268473a1797ae
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp.txt,1273,b3e6ee6a60352d42cfae12db78ea59114edd996278cd33f7d40d02fa4c2fc4b6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp_Type0.txt,1273,b3e6ee6a60352d42cfae12db78ea59114edd996278cd33f7d40d02fa4c2fc4b6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp_Type1.txt,1273,d0d55623a50723e3af4c6d7dd42b1b278cd6d88927e4e4c79ce271e3b7473fd6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp_Type2.txt,1273,b3e6ee6a60352d42cfae12db78ea59114edd996278cd33f7d40d02fa4c2fc4b6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp_Type3.txt,1273,b3e6ee6a60352d42cfae12db78ea59114edd996278cd33f7d40d02fa4c2fc4b6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp_Type4.txt,1273,b3e6ee6a60352d42cfae12db78ea59114edd996278cd33f7d40d02fa4c2fc4b6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp_Type5.txt,1273,e2fe5d1e2b28e54ecf513b6e9df70ebfef76593d6e8e68e37221558983625986
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/PHY_REG_PG_8197Fmp_Type6.txt,1273,b3e6ee6a60352d42cfae12db78ea59114edd996278cd33f7d40d02fa4c2fc4b6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/RadioA_8197F.txt,947,464f1063dd586336515bb82f69f41a026fe4eee7ccdbaca0c1472d772d5925be
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/RadioB_8197F.txt,608,deeee1ab25b687fa703bee208b53b839b4e40555b5d694ed2b736cc18143f30f
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp.txt,4398,36225fb7bf55ab34af524e483df1c0dd18c1130d1357f1dd7582cf135fb9bde4
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_TXBF.txt,4398,f8d2028195c660e723c83348816a7bbaf43b3499d8413189c3ecf6d4586e746c
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type0.txt,4398,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type1.txt,4398,f8d2028195c660e723c83348816a7bbaf43b3499d8413189c3ecf6d4586e746c
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type2.txt,4398,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type3.txt,4398,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type4.txt,4398,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type5.txt,4398,f8d2028195c660e723c83348816a7bbaf43b3499d8413189c3ecf6d4586e746c
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type6.txt,4398,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TxPowerTrack_AP_8197Fmp.txt,1374,28253e196a21ee25e057929672a755b624fd617e38351ab76366c5cedcc392d2
