Archive,Area,Scope,Class,FileKind,Chips/Keywords,SizeBytes,SizeKiB,Extension,Path
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,"RTL8197F, RTL8367R",1552,1.52,.types,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/mime.types
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,"RTL8197F, RTL8367R",334,0.33,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/motd
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,"RTL8197F, RTL8367R",59,0.06,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/passwd
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,text/config data,"RTL8197F, RTL8367R",22,0.02,.conf,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/resolv.conf
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,"RTL8197F, RTL8367R",8205,8.01,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/services
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,text/config data,"RTL8197F, RTL8367R",9770,9.54,.conf,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/smb.conf
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2076,2.03,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197FS-VSx_8367rb-spi_nand-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",1301,1.27,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fb_8367rb_8bit_128MBx2-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",1326,1.29,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fb_8367rb_ddr128M-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",1822,1.78,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fb_spinand_8367rb_8bit_128MBx2-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2273,2.22,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fh_8367rb-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2266,2.21,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fh_vg_8367rb-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2266,2.21,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fh_vg_8367rb_AC21-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2294,2.24,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fh_vg_8367rb_AC8-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2372,2.32,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fh_vg_8367rb_vc-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2543,2.48,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fh_vg_8367rb_vc-spi_nand-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,RTL8197F,2276,2.22,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fh_vg_8367s_V622G-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",1331,1.3,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fs_8367rb-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2255,2.2,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fs_vg_8367rb-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2509,2.45,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fs_vg_8367rb-spi_nand_V672-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2227,2.17,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fs_vg_8367rb_V670-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2255,2.2,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fs_vg_8367rb_V672-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2372,2.32,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fs_vg_8367rb_vc-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,build/config,"RTL8197F, RTL8367R",2586,2.53,[no ext],GPL_AX12v1/rtl8197/bootcode/def-rtl8197fs_vg_8367rb_vc-spi_nand-config
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,12214,11.93,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/gpio.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,2260,2.21,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/gpio.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,2024,1.98,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/gpio_8198.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,202210,197.47,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtk_api.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,42986,41.98,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtk_api.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,232734,227.28,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtk_api_ext.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,22967,22.43,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtk_error.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,1631,1.59,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtk_types.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",14337,14.0,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",3757,3.67,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",6356,6.21,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_acl.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",3080,3.01,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_cputag.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",1373,1.34,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_cputag.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",1580,1.54,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_dot1x.h
